name,houseNumbers,districtNumber,schoolId
Meisenweg,ung. 1-13 ; ger. 2-12,27,Waldstadt-Grundschule
Möbelhof,gesamt,27,Waldstadt-Grundschule
Nuthedamm,ung. 1 -1B; ger. 32,27,Waldstadt-Grundschule
Nuthedamm,ung. 31-33,27,Waldstadt-Grundschule
Nuthewinkel,gesamt,27,Waldstadt-Grundschule
Ravensberggestell,2 ,27,Waldstadt-Grundschule
Ravensbergweg,gesamt,27,Waldstadt-Grundschule
Saarmunder Str.,ung. 7-45 ; ger. 2-32,27,Waldstadt-Grundschule
Schlaatzstr.,gesamt,27,Waldstadt-Grundschule
Schlaatzweg,gesamt,27,Waldstadt-Grundschule
Sophie-Alberti-Str.,gesamt,27,Waldstadt-Grundschule
Tiroler Damm,gesamt,27,Waldstadt-Grundschule
Unter den Eichen,ung. 1-49 ; ger. 2-50,27,Waldstadt-Grundschule
Verkehrshof,gesamt,27,Waldstadt-Grundschule
Vogelsang,gesamt,27,Waldstadt-Grundschule
Waldstr.,gesamt,27,Waldstadt-Grundschule
Zum Heizwerk,gesamt,27,Waldstadt-Grundschule
Zum Jagenstein,ung. 1-37,27,Waldstadt-Grundschule
Zum Kahleberg,ung. 1 -13; ger. 4,27,Waldstadt-Grundschule
Zur Nuthe,gesamt,27,Waldstadt-Grundschule
Albert-Wilkening-Str.,gesamt,33,Schule+am+Griebnitzsee
Alfred-Hirschmeier-Str.,gesamt,33,Schule+am+Griebnitzsee
Allee nach Glienicke,ung. 83-85,33,Schule+am+Griebnitzsee
Am Klubhaus,gesamt,33,Schule+am+Griebnitzsee
Am Sportplatz,gesamt,33,Schule+am+Griebnitzsee
An der Sandscholle,ung. 3-5 ; ger. 2-52,33,Schule+am+Griebnitzsee
An der Sternwarte,ung. 21-23,33,Schule+am+Griebnitzsee
August-Bebel-Str.,gesamt,33,Schule+am+Griebnitzsee
August-Bier-Str.,gesamt,33,Schule+am+Griebnitzsee
Baldurstr.,gesamt,33,Schule+am+Griebnitzsee
Behringstr.,gesamt,33,Schule+am+Griebnitzsee
Billy-Wilder-Platz,gesamt,33,Schule+am+Griebnitzsee
Blumenweg,gesamt,33,Schule+am+Griebnitzsee
Bruno-H.-Bürgel-Str.,ung. 3-71,33,Schule+am+Griebnitzsee
Dianastr.,gesamt,33,Schule+am+Griebnitzsee
Domstr.,gesamt,33,Schule+am+Griebnitzsee
Donarstr.,ung. 1-17 ; ger. 2-32,33,Schule+am+Griebnitzsee
Emil-Jannings-Str.,gesamt,33,Schule+am+Griebnitzsee
Espengrund,gesamt,33,Schule+am+Griebnitzsee
Filchnerstr.,gesamt,33,Schule+am+Griebnitzsee
Fontanestr.,gesamt,33,Schule+am+Griebnitzsee
Försterweg,gesamt,33,Schule+am+Griebnitzsee
Franz-Mehring-Str.,gesamt,33,Schule+am+Griebnitzsee
Freiligrathstr.,gesamt,33,Schule+am+Griebnitzsee
Friedrich-Holländer-Str.,gesamt,33,Schule+am+Griebnitzsee
G.-W.-Pabst-Str.,gesamt,33,Schule+am+Griebnitzsee
GA Birkenhain,gesamt,33,Schule+am+Griebnitzsee
Gertrud-Droste-Platz,gesamt,33,Schule+am+Griebnitzsee
Goethestr.,gesamt,33,Schule+am+Griebnitzsee
Großbeerenstr.,ger. 170-204,33,Schule+am+Griebnitzsee
Heinestr.,gesamt,33,Schule+am+Griebnitzsee
Heinrich-George-Str.,gesamt,33,Schule+am+Griebnitzsee
Heinz-Rühmann-Weg,gesamt,33,Schule+am+Griebnitzsee
Herderstr.,gesamt,33,Schule+am+Griebnitzsee
Hermann-Maaß-Str.,ger. 2-54,33,Schule+am+Griebnitzsee
Hermann-Maaß-Str.,ung. 3 -77; ger. 70,33,Schule+am+Griebnitzsee
Herthastr.,gesamt,33,Schule+am+Griebnitzsee
Hiroshima-Nagasaki-Platz,gesamt,33,Schule+am+Griebnitzsee
